chemicals,Aysen,Cisnes,Palena,Puelo,Yelcho
dSi,0,5,0,0,0
TN,0,0,0,0,0
TP,0,0,0,0,0
DOC,53,99,0,0,0
Fe,0,7,0,0,0
TSS,0,0,0,0,0
