Date,Aysen,Cisnes,Palena,Puelo,Yelcho
1980-01-01,,,,557.0768822398344,
1980-01-02,,,,535.9354747918372,
1980-01-03,,,,527.8904222516476,
1980-01-04,,,,524.879911816778,
1980-01-05,,,,501.71917563970266,
1980-01-06,,,,478.5576188888896,
1980-01-07,,,,460.43242121506734,
1980-01-08,,,,452.37821461552613,
1980-01-09,,,,447.3463708889032,
1980-01-10,,,,454.40520952589185,
1980-01-11,,,,443.3275041198211,
1980-01-12,,,,456.45164244863406,
1980-01-13,,,,456.47800153674456,
1980-01-14,,,,550.2016909223559,
1980-01-15,,,,551.2199105512613,
1980-01-16,,,,549.2166492710455,
1980-01-17,,,,611.7102557295476,
1980-01-18,,,,561.3365012978318,
1980-01-19,,,,507.9532839384487,
1980-01-20,,,,472.7022315625511,
1980-01-21,,,,454.5739576651281,
1980-01-22,,,,453.57980751645556,
1980-01-23,,,,486.85632924131323,
1980-01-24,,,,477.79077112548833,
1980-01-25,,,,430.42023783106265,
1980-01-26,,,,389.09613099823144,
1980-01-27,,,,477.80849067368723,
1980-01-28,,,,448.581842746562,
1980-01-29,,,,396.17262795408107,
1980-01-30,,,,381.05426980454627,
1980-01-31,,,,400.216302930559,
1980-02-01,,,,381.07026296720915,
1980-02-02,,,,357.88986433837925,
1980-02-03,,,,343.78407406401857,
1980-02-04,,,,330.6854024716112,
1980-02-05,,,,321.62031320012943,
1980-02-06,,,,342.7977184486333,
1980-02-07,,,,469.84167033737,
1980-02-08,,,,605.9655179173105,
1980-02-09,,,,1170.6101891293897,
1980-02-10,,,,1005.2683853323841,
1980-02-11,,,,848.9987432352632,
1980-02-12,,,,1578.044807674395,
1980-02-13,,,,1306.8309250155353,
1980-02-14,,,,927.7125466787153,
1980-02-15,,,,812.7799088739655,
1980-02-16,,,,838.0152132068889,
1980-02-17,,,,705.9343500005623,
1980-02-18,,,,633.3424004096097,
1980-02-19,,,,581.9278958122055,
1980-02-20,,,,547.6524738060199,
1980-02-21,,,,510.3500239006825,
1980-02-22,,,,498.2605498899448,
1980-02-23,,,,458.93609618830806,
1980-02-24,,,,436.75685090261055,
1980-02-25,,,,406.50798107702093,
1980-02-26,,,,378.2757380489592,
1980-02-27,,,,354.07650066557386,
1980-02-28,,,,485.2290958673276,
1980-02-29,,,,526.6043859995839,
1980-03-01,,,,444.90036703182,
1980-03-02,,,,399.5115463973352,
1980-03-03,,,,367.2354876936064,
1980-03-04,,,,475.1956729845477,
1980-03-05,,,,547.8464820841946,
1980-03-06,,,,495.3892587952898,
1980-03-07,,,,434.8593076246665,
1980-03-08,,,,443.9474595950391,
1980-03-09,,,,433.8683033021079,
1980-03-10,,,,427.82473205625917,
1980-03-11,,,,406.64435852506955,
1980-03-12,,,,385.46442203569603,
1980-03-13,,,,377.4025864855362,
1980-03-14,,,,390.53291721515967,
1980-03-15,,,,405.6801054785213,
1980-03-16,,,,411.74500890810623,
1980-03-17,,,,389.5510991246982,
1980-03-18,,,,386.532150921789,
1980-03-19,,,,347.18010033096397,
1980-03-20,,,,494.54109808879645,
1980-03-21,,,,774.1284936714698,
1980-03-22,,,,657.0706706483853,
1980-03-23,,,,636.9026675991921,
1980-03-24,,,,532.9566211274281,
1980-03-25,,,,735.8674767941725,
1980-03-26,,,,723.777927207573,
1980-03-27,,,,664.2402033119632,
1980-03-28,,,,573.4024284745773,
1980-03-29,,,,483.56144940038837,
1980-03-30,,,,426.02332205742135,
1980-03-31,,,,398.771548147876,
1980-04-01,,,,710.7422208153915,
1980-04-02,,,,773.3648638725844,
1980-04-03,,,,664.3481489539762,
1980-04-04,,,,571.4787186471868,
1980-04-05,,,,499.80104865609945,
1980-04-06,,,,464.4724632928073,
1980-04-07,,,,641.1844950009341,
1980-04-08,,,,716.9305564100453,
1980-04-09,,,,680.5984501587991,
1980-04-10,,,,599.8220762086405,
1980-04-11,,,,527.1286184044297,
1980-04-12,,,,479.67272369258933,
1980-04-13,,,,449.3840934499347,
1980-04-14,,,,423.13450066345797,
1980-04-15,,,,388.8039595439535,
1980-04-16,,,,441.32218515573015,
1980-04-17,,,,687.7436389245332,
1980-04-18,,,,599.8878926549947,
1980-04-19,,,,509.0041586448455,
1980-04-20,,,,460.534914401444,
1980-04-21,,,,426.2047778608774,
1980-04-22,,,,439.34403935155655,
1980-04-23,,,,515.0984416416628,
1980-04-24,,,,523.1872373627895,
1980-04-25,,,,534.305191583444,
1980-04-26,,,,485.83090672861806,
1980-04-27,,,,482.8096710325107,
1980-04-28,,,,492.9211420207834,
1980-04-29,,,,446.46351781727077,
1980-04-30,,,,415.1554260104591,
1980-05-01,,,,402.0284982667093,
1980-05-02,,,,381.83215866671776,
